,asset,time,ReferenceRateUSD
2163,btc,2024-12-27 23:00:00+00:00,94362.9206618936
2164,btc,2024-12-28 00:00:00+00:00,94219.9821461134
2165,btc,2024-12-28 01:00:00+00:00,94265.4197694331
2166,btc,2024-12-28 02:00:00+00:00,94272.4954441847
2167,btc,2024-12-28 03:00:00+00:00,94312.7049473992
2168,btc,2024-12-28 04:00:00+00:00,94459.3971952075
2169,btc,2024-12-28 05:00:00+00:00,94426.910166277
2170,btc,2024-12-28 06:00:00+00:00,94529.8614579194
2171,btc,2024-12-28 07:00:00+00:00,94338.7373138516
2172,btc,2024-12-28 08:00:00+00:00,94287.1036487434
2173,btc,2024-12-28 09:00:00+00:00,94296.0878503799
2174,btc,2024-12-28 10:00:00+00:00,94482.5581633548
2175,btc,2024-12-28 11:00:00+00:00,94491.840371128
2176,btc,2024-12-28 12:00:00+00:00,94560.485672706
2177,btc,2024-12-28 13:00:00+00:00,94515.0803474576
2178,btc,2024-12-28 14:00:00+00:00,94500.136424021
2179,btc,2024-12-28 15:00:00+00:00,94554.5647279369
2180,btc,2024-12-28 16:00:00+00:00,94406.0449590882
2181,btc,2024-12-28 17:00:00+00:00,94550.396021917
2182,btc,2024-12-28 18:00:00+00:00,94915.1540444184
2183,btc,2024-12-28 19:00:00+00:00,94717.6396917007
2184,btc,2024-12-28 20:00:00+00:00,94874.2947288136
2185,btc,2024-12-28 21:00:00+00:00,94829.155818235
2186,btc,2024-12-28 22:00:00+00:00,94929.6275140269
2187,btc,2024-12-28 23:00:00+00:00,95083.2226271187
2188,btc,2024-12-29 00:00:00+00:00,95123.5811098773
2189,btc,2024-12-29 01:00:00+00:00,94974.1635140269
2190,btc,2024-12-29 02:00:00+00:00,94790.8082440094
2191,btc,2024-12-29 03:00:00+00:00,94963.1189661017
2192,btc,2024-12-29 04:00:00+00:00,94957.8395149036
2193,btc,2024-12-29 05:00:00+00:00,94955.7726320865
2194,btc,2024-12-29 06:00:00+00:00,94952.7046113384
2195,btc,2024-12-29 07:00:00+00:00,94972.2222606663
2196,btc,2024-12-29 08:00:00+00:00,95033.8177586207
