Symbol,Name,Market Cap,30d Return,30d Volatility,30d Upside Vol,30d Downside Vol,U/D Ratio
BTC,Bitcoin,"$1,963,244,888,840",4.10%,44.21%,29.27%,27.99%,1.0459080529168607
ETH,Ethereum,"$370,459,069,940",-9.90%,62.63%,36.14%,40.20%,0.899070465334133
XRP,XRP,"$162,156,959,642",27.55%,106.04%,92.02%,53.23%,1.72883911347949
USDT,Tether,"$139,275,812,032",0.12%,1.08%,0.70%,0.65%,1.0777407566739916
SOL,Solana,"$110,658,244,610",16.23%,99.82%,88.68%,43.26%,2.0500705653391256
BNB,BNB,"$94,473,508,458",-10.40%,35.52%,16.79%,26.84%,0.6256627839510349
USDC,USDC,"$52,171,633,456",0.01%,0.54%,0.34%,0.47%,0.7234856609578139
DOGE,Dogecoin,"$46,523,344,452",-3.72%,99.40%,64.53%,55.87%,1.1549776655725914
ADA,Cardano,"$31,627,099,862",-1.04%,99.08%,72.72%,54.95%,1.3234119866426948
STETH,Lido Staked Ether,"$29,303,646,573",-10.04%,62.64%,36.45%,40.61%,0.8975886194980484
TRX,TRON,"$20,279,864,559",-8.86%,61.40%,40.43%,34.76%,1.1632839254077103
LINK,Chainlink,"$14,575,370,862",2.64%,91.25%,57.98%,54.25%,1.0687646077672082
AVAX,Avalanche,"$13,920,380,107",-10.76%,84.16%,46.71%,55.63%,0.8395765112427049
WBTC,Wrapped Bitcoin,"$12,774,353,425",4.27%,42.06%,27.84%,24.36%,1.1428790099993447
WSTETH,Wrapped stETH,"$12,605,842,583",-9.59%,63.53%,38.12%,43.04%,0.8856229784062171
TON,Toncoin,"$11,924,510,680",-17.40%,54.87%,22.80%,42.80%,0.5327819958681018
HBAR,Hedera,"$11,580,329,925",1.38%,102.00%,73.59%,45.74%,1.6088462138034532
XLM,Stellar,"$11,555,749,391",5.77%,133.34%,132.63%,59.59%,2.225663656422361
SUI,Sui,"$10,814,046,391",-15.74%,97.84%,69.97%,46.02%,1.5203931595584872
SHIB,Shiba Inu,"$10,522,117,072",-19.91%,85.33%,54.71%,57.53%,0.9511053654998577
