,asset,time,ReferenceRateUSD
0,btc,2025-01-19 23:00:00+00:00,103109.201397428
1,btc,2025-01-20 00:00:00+00:00,100954.572281999
2,btc,2025-01-20 01:00:00+00:00,100347.860286967
3,btc,2025-01-20 02:00:00+00:00,100209.556465225
4,btc,2025-01-20 03:00:00+00:00,101583.606642607
5,btc,2025-01-20 04:00:00+00:00,101591.024001753
6,btc,2025-01-20 05:00:00+00:00,101998.097864699
7,btc,2025-01-20 06:00:00+00:00,102380.464947107
8,btc,2025-01-20 07:00:00+00:00,104831.620099649
9,btc,2025-01-20 08:00:00+00:00,107853.379747808
10,btc,2025-01-20 09:00:00+00:00,107972.279689947
11,btc,2025-01-20 10:00:00+00:00,107993.901367037
12,btc,2025-01-20 11:00:00+00:00,108154.035952367
13,btc,2025-01-20 12:00:00+00:00,108100.536019579
14,btc,2025-01-20 13:00:00+00:00,106682.055081824
15,btc,2025-01-20 14:00:00+00:00,107512.822290473
16,btc,2025-01-20 15:00:00+00:00,107603.837527762
17,btc,2025-01-20 16:00:00+00:00,106017.875263881
18,btc,2025-01-20 17:00:00+00:00,105917.639018118
19,btc,2025-01-20 18:00:00+00:00,103237.036412332
20,btc,2025-01-20 19:00:00+00:00,103850.314643191
21,btc,2025-01-20 20:00:00+00:00,103402.429189363
22,btc,2025-01-20 21:00:00+00:00,103815.975226768
23,btc,2025-01-20 22:00:00+00:00,103207.528419053
24,btc,2025-01-20 23:00:00+00:00,103187.381749269
25,btc,2025-01-21 00:00:00+00:00,102588.998699006
26,btc,2025-01-21 01:00:00+00:00,101811.143652835
27,btc,2025-01-21 02:00:00+00:00,101251.27429924
28,btc,2025-01-21 03:00:00+00:00,102161.180293688
29,btc,2025-01-21 04:00:00+00:00,102847.07709848
30,btc,2025-01-21 05:00:00+00:00,102277.463939801
31,btc,2025-01-21 06:00:00+00:00,101502.073414378
32,btc,2025-01-21 07:00:00+00:00,101675.581500584
33,btc,2025-01-21 08:00:00+00:00,102056.107410871
34,btc,2025-01-21 09:00:00+00:00,102152.446068966
35,btc,2025-01-21 10:00:00+00:00,102429.043999416
36,btc,2025-01-21 11:00:00+00:00,102942.532054939
37,btc,2025-01-21 12:00:00+00:00,103651.633187025
38,btc,2025-01-21 13:00:00+00:00,104319.304079778
39,btc,2025-01-21 14:00:00+00:00,104513.559582116
40,btc,2025-01-21 15:00:00+00:00,103884.586984804
41,btc,2025-01-21 16:00:00+00:00,103577.608101403
42,btc,2025-01-21 17:00:00+00:00,105333.026963764
43,btc,2025-01-21 18:00:00+00:00,105839.804464056
44,btc,2025-01-21 19:00:00+00:00,106763.91576768
45,btc,2025-01-21 20:00:00+00:00,106828.428748393
46,btc,2025-01-21 21:00:00+00:00,106399.871680012
47,btc,2025-01-21 22:00:00+00:00,106459.380723261
48,btc,2025-01-21 23:00:00+00:00,106288.707542957
49,btc,2025-01-22 00:00:00+00:00,105987.888705435
50,btc,2025-01-22 01:00:00+00:00,105927.753203682
51,btc,2025-01-22 02:00:00+00:00,105718.130594389
52,btc,2025-01-22 03:00:00+00:00,105873.09328346
53,btc,2025-01-22 04:00:00+00:00,105722.970710988
54,btc,2025-01-22 05:00:00+00:00,105596.561313267
55,btc,2025-01-22 06:00:00+00:00,105651.923997954
56,btc,2025-01-22 07:00:00+00:00,105454.96213121
57,btc,2025-01-22 08:00:00+00:00,105238.80580713
58,btc,2025-01-22 09:00:00+00:00,105063.775594974
59,btc,2025-01-22 10:00:00+00:00,105027.757878141
60,btc,2025-01-22 11:00:00+00:00,104998.419116306
61,btc,2025-01-22 12:00:00+00:00,105045.184533898
62,btc,2025-01-22 13:00:00+00:00,105349.613517826
63,btc,2025-01-22 14:00:00+00:00,104492.913559906
64,btc,2025-01-22 15:00:00+00:00,104267.103480421
65,btc,2025-01-22 16:00:00+00:00,104400.293566628
66,btc,2025-01-22 17:00:00+00:00,103769.219400058
67,btc,2025-01-22 18:00:00+00:00,104351.845300701
68,btc,2025-01-22 19:00:00+00:00,104262.947053477
69,btc,2025-01-22 20:00:00+00:00,104551.317389538
70,btc,2025-01-22 21:00:00+00:00,104320.501672414
71,btc,2025-01-22 22:00:00+00:00,103980.28656955
72,btc,2025-01-22 23:00:00+00:00,104113.657870836
73,btc,2025-01-23 00:00:00+00:00,103791.128861485
74,btc,2025-01-23 01:00:00+00:00,103310.608279661
75,btc,2025-01-23 02:00:00+00:00,103118.02207218
76,btc,2025-01-23 03:00:00+00:00,102407.319339568
77,btc,2025-01-23 04:00:00+00:00,102650.512096143
78,btc,2025-01-23 05:00:00+00:00,101884.087525424
79,btc,2025-01-23 06:00:00+00:00,102304.588661894
80,btc,2025-01-23 07:00:00+00:00,102523.342827878
81,btc,2025-01-23 08:00:00+00:00,102460.873206897
82,btc,2025-01-23 09:00:00+00:00,102277.666697838
83,btc,2025-01-23 10:00:00+00:00,101921.581137639
84,btc,2025-01-23 11:00:00+00:00,101638.118632671
85,btc,2025-01-23 12:00:00+00:00,101941.17359059
86,btc,2025-01-23 13:00:00+00:00,101615.134957919
87,btc,2025-01-23 14:00:00+00:00,102051.075066628
88,btc,2025-01-23 15:00:00+00:00,104297.937247808
89,btc,2025-01-23 16:00:00+00:00,104709.660927528
90,btc,2025-01-23 17:00:00+00:00,105710.008722677
91,btc,2025-01-23 18:00:00+00:00,105602.668661309
92,btc,2025-01-23 19:00:00+00:00,105570.510203682
93,btc,2025-01-23 20:00:00+00:00,104418.861891584
94,btc,2025-01-23 21:00:00+00:00,104468.406560783
95,btc,2025-01-23 22:00:00+00:00,102955.501985389
96,btc,2025-01-23 23:00:00+00:00,104043.41452367
97,btc,2025-01-24 00:00:00+00:00,104184.616743717
98,btc,2025-01-24 01:00:00+00:00,103624.985204851
99,btc,2025-01-24 02:00:00+00:00,103387.0608872
100,btc,2025-01-24 03:00:00+00:00,103230.915210696
101,btc,2025-01-24 04:00:00+00:00,103787.916026593
102,btc,2025-01-24 05:00:00+00:00,104302.554103741
103,btc,2025-01-24 06:00:00+00:00,104968.29136879
104,btc,2025-01-24 07:00:00+00:00,104900.040434833
105,btc,2025-01-24 08:00:00+00:00,104905.246094974
106,btc,2025-01-24 09:00:00+00:00,105411.445928989
107,btc,2025-01-24 10:00:00+00:00,105335.012175044
108,btc,2025-01-24 11:00:00+00:00,105272.089582408
109,btc,2025-01-24 12:00:00+00:00,105376.578077732
110,btc,2025-01-24 13:00:00+00:00,105425.781883109
111,btc,2025-01-24 14:00:00+00:00,105165.613236704
112,btc,2025-01-24 15:00:00+00:00,105538.140502338
113,btc,2025-01-24 16:00:00+00:00,105818.218664231
114,btc,2025-01-24 17:00:00+00:00,106005.360181473
115,btc,2025-01-24 18:00:00+00:00,106431.72129661
116,btc,2025-01-24 19:00:00+00:00,106685.887818819
117,btc,2025-01-24 20:00:00+00:00,106046.652500877
118,btc,2025-01-24 21:00:00+00:00,105164.177149328
119,btc,2025-01-24 22:00:00+00:00,105192.881781707
120,btc,2025-01-24 23:00:00+00:00,105064.701971362
121,btc,2025-01-25 00:00:00+00:00,104716.12488194
122,btc,2025-01-25 01:00:00+00:00,104551.992743425
123,btc,2025-01-25 02:00:00+00:00,104696.217626242
124,btc,2025-01-25 03:00:00+00:00,104590.708361777
125,btc,2025-01-25 04:00:00+00:00,104872.986474576
126,btc,2025-01-25 05:00:00+00:00,104771.217635301
127,btc,2025-01-25 06:00:00+00:00,104481.577277615
128,btc,2025-01-25 07:00:00+00:00,104278.268689071
129,btc,2025-01-25 08:00:00+00:00,104396.176764757
130,btc,2025-01-25 09:00:00+00:00,104306.045581239
131,btc,2025-01-25 10:00:00+00:00,104355.91104062
132,btc,2025-01-25 11:00:00+00:00,104432.617498831
133,btc,2025-01-25 12:00:00+00:00,104549.71655903
134,btc,2025-01-25 13:00:00+00:00,104631.810749562
135,btc,2025-01-25 14:00:00+00:00,104721.269092636
136,btc,2025-01-25 15:00:00+00:00,104565.051201052
137,btc,2025-01-25 16:00:00+00:00,104893.016670076
138,btc,2025-01-25 17:00:00+00:00,104723.091975161
139,btc,2025-01-25 18:00:00+00:00,104717.357439509
140,btc,2025-01-25 19:00:00+00:00,104988.224696084
141,btc,2025-01-25 20:00:00+00:00,105012.542764465
142,btc,2025-01-25 21:00:00+00:00,105033.085717417
143,btc,2025-01-25 22:00:00+00:00,104967.659309468
144,btc,2025-01-25 23:00:00+00:00,105076.147983928
145,btc,2025-01-26 00:00:00+00:00,104866.085348919
146,btc,2025-01-26 01:00:00+00:00,104654.55229924
147,btc,2025-01-26 02:00:00+00:00,104622.388892168
148,btc,2025-01-26 03:00:00+00:00,104605.762634424
149,btc,2025-01-26 04:00:00+00:00,104935.493995324
150,btc,2025-01-26 05:00:00+00:00,105171.182798071
151,btc,2025-01-26 06:00:00+00:00,105067.976855056
152,btc,2025-01-26 07:00:00+00:00,104997.702632963
153,btc,2025-01-26 08:00:00+00:00,104971.707253653
154,btc,2025-01-26 09:00:00+00:00,105000.34620602
155,btc,2025-01-26 10:00:00+00:00,104666.769217125
156,btc,2025-01-26 11:00:00+00:00,104594.734622735
157,btc,2025-01-26 12:00:00+00:00,104755.435036528
158,btc,2025-01-26 13:00:00+00:00,104762.529435418
159,btc,2025-01-26 14:00:00+00:00,104918.215249562
160,btc,2025-01-26 15:00:00+00:00,104912.350509059
161,btc,2025-01-26 16:00:00+00:00,104986.767741964
162,btc,2025-01-26 17:00:00+00:00,104954.675412332
163,btc,2025-01-26 18:00:00+00:00,104973.042230859
164,btc,2025-01-26 19:00:00+00:00,105141.305047049
165,btc,2025-01-26 20:00:00+00:00,105077.041696376
166,btc,2025-01-26 21:00:00+00:00,105032.019943016
167,btc,2025-01-26 22:00:00+00:00,104755.869795441
168,btc,2025-01-26 23:00:00+00:00,104499.381201929
169,btc,2025-01-27 00:00:00+00:00,102833.369273232
170,btc,2025-01-27 01:00:00+00:00,102344.345136762
171,btc,2025-01-27 02:00:00+00:00,101555.195782876
172,btc,2025-01-27 03:00:00+00:00,101089.286738165
173,btc,2025-01-27 04:00:00+00:00,101426.201352425
174,btc,2025-01-27 05:00:00+00:00,100569.695207481
175,btc,2025-01-27 06:00:00+00:00,100209.838851841
176,btc,2025-01-27 07:00:00+00:00,99361.2558854471
177,eth,2025-01-19 23:00:00+00:00,3244.22099007014
178,eth,2025-01-20 00:00:00+00:00,3204.0508971128
179,eth,2025-01-20 01:00:00+00:00,3178.34573974284
180,eth,2025-01-20 02:00:00+00:00,3189.56793408533
181,eth,2025-01-20 03:00:00+00:00,3246.14157666862
182,eth,2025-01-20 04:00:00+00:00,3260.61939023962
183,eth,2025-01-20 05:00:00+00:00,3265.87490396844
184,eth,2025-01-20 06:00:00+00:00,3284.60954543542
185,eth,2025-01-20 07:00:00+00:00,3353.57622206897
186,eth,2025-01-20 08:00:00+00:00,3382.13458322618
187,eth,2025-01-20 09:00:00+00:00,3391.95475388662
188,eth,2025-01-20 10:00:00+00:00,3368.25162695207
189,eth,2025-01-20 11:00:00+00:00,3366.6760147107
190,eth,2025-01-20 12:00:00+00:00,3364.55765446523
191,eth,2025-01-20 13:00:00+00:00,3299.24482796026
192,eth,2025-01-20 14:00:00+00:00,3327.25811202805
193,eth,2025-01-20 15:00:00+00:00,3343.41211736412
194,eth,2025-01-20 16:00:00+00:00,3345.39417773817
195,eth,2025-01-20 17:00:00+00:00,3357.27808623612
196,eth,2025-01-20 18:00:00+00:00,3292.43270448568
197,eth,2025-01-20 19:00:00+00:00,3312.13150383401
198,eth,2025-01-20 20:00:00+00:00,3341.55108040327
199,eth,2025-01-20 21:00:00+00:00,3326.27786481005
200,eth,2025-01-20 22:00:00+00:00,3308.28651166569
201,eth,2025-01-20 23:00:00+00:00,3306.54864440093
202,eth,2025-01-21 00:00:00+00:00,3285.42927070719
203,eth,2025-01-21 01:00:00+00:00,3246.87730424313
204,eth,2025-01-21 02:00:00+00:00,3237.21708798364
205,eth,2025-01-21 03:00:00+00:00,3248.75649823495
206,eth,2025-01-21 04:00:00+00:00,3256.1926414962
207,eth,2025-01-21 05:00:00+00:00,3235.5583317592
208,eth,2025-01-21 06:00:00+00:00,3226.95740628872
209,eth,2025-01-21 07:00:00+00:00,3230.98137875804
