,asset,time,volatility_realized_usd_rolling_7d
0,btc,2025-01-19 23:00:00+00:00,0.5617044
1,btc,2025-01-20 00:00:00+00:00,0.6040355
2,btc,2025-01-20 01:00:00+00:00,0.6054501
3,btc,2025-01-20 02:00:00+00:00,0.6033268
4,btc,2025-01-20 03:00:00+00:00,0.6044179
5,btc,2025-01-20 04:00:00+00:00,0.6056285
6,btc,2025-01-20 05:00:00+00:00,0.6072057
7,btc,2025-01-20 06:00:00+00:00,0.608121
8,btc,2025-01-20 07:00:00+00:00,0.642197
9,btc,2025-01-20 08:00:00+00:00,0.6494277
10,btc,2025-01-20 09:00:00+00:00,0.650512
11,btc,2025-01-20 10:00:00+00:00,0.6542034
12,btc,2025-01-20 11:00:00+00:00,0.6534479
13,btc,2025-01-20 12:00:00+00:00,0.6528566
14,btc,2025-01-20 13:00:00+00:00,0.6705517
15,btc,2025-01-20 14:00:00+00:00,0.6675947
16,btc,2025-01-20 15:00:00+00:00,0.6562202
17,btc,2025-01-20 16:00:00+00:00,0.6602621
18,btc,2025-01-20 17:00:00+00:00,0.6619853
19,btc,2025-01-20 18:00:00+00:00,0.6996647
20,btc,2025-01-20 19:00:00+00:00,0.7021516
21,btc,2025-01-20 20:00:00+00:00,0.7016999
22,btc,2025-01-20 21:00:00+00:00,0.6986685
23,btc,2025-01-20 22:00:00+00:00,0.6992608
24,btc,2025-01-20 23:00:00+00:00,0.6993856
25,btc,2025-01-21 00:00:00+00:00,0.7071955
26,btc,2025-01-21 01:00:00+00:00,0.7154116
27,btc,2025-01-21 02:00:00+00:00,0.726304
28,btc,2025-01-21 03:00:00+00:00,0.7272741
29,btc,2025-01-21 04:00:00+00:00,0.7275839
30,btc,2025-01-21 05:00:00+00:00,0.7289286
31,btc,2025-01-21 06:00:00+00:00,0.7291274
32,btc,2025-01-21 07:00:00+00:00,0.7308907
33,btc,2025-01-21 08:00:00+00:00,0.7310323
34,btc,2025-01-21 09:00:00+00:00,0.7298973
35,btc,2025-01-21 10:00:00+00:00,0.7285671
36,btc,2025-01-21 11:00:00+00:00,0.7286727
37,btc,2025-01-21 12:00:00+00:00,0.7291133
38,btc,2025-01-21 13:00:00+00:00,0.7317309
39,btc,2025-01-21 14:00:00+00:00,0.7321564
40,btc,2025-01-21 15:00:00+00:00,0.7431972
41,btc,2025-01-21 16:00:00+00:00,0.7422935
42,btc,2025-01-21 17:00:00+00:00,0.7535969
43,btc,2025-01-21 18:00:00+00:00,0.7542876
44,btc,2025-01-21 19:00:00+00:00,0.7562138
45,btc,2025-01-21 20:00:00+00:00,0.757326
46,btc,2025-01-21 21:00:00+00:00,0.7582962
47,btc,2025-01-21 22:00:00+00:00,0.7588758
48,btc,2025-01-21 23:00:00+00:00,0.7591492
49,btc,2025-01-22 00:00:00+00:00,0.7598146
50,btc,2025-01-22 01:00:00+00:00,0.7591131
51,btc,2025-01-22 02:00:00+00:00,0.7588794
52,btc,2025-01-22 03:00:00+00:00,0.7588932
53,btc,2025-01-22 04:00:00+00:00,0.7586506
54,btc,2025-01-22 05:00:00+00:00,0.7579779
55,btc,2025-01-22 06:00:00+00:00,0.7578354
56,btc,2025-01-22 07:00:00+00:00,0.7581491
57,btc,2025-01-22 08:00:00+00:00,0.7581194
58,btc,2025-01-22 09:00:00+00:00,0.7580679
59,btc,2025-01-22 10:00:00+00:00,0.7576485
60,btc,2025-01-22 11:00:00+00:00,0.7577404
61,btc,2025-01-22 12:00:00+00:00,0.7578456
62,btc,2025-01-22 13:00:00+00:00,0.7576947
63,btc,2025-01-22 14:00:00+00:00,0.7521847
64,btc,2025-01-22 15:00:00+00:00,0.7527785
65,btc,2025-01-22 16:00:00+00:00,0.7522963
66,btc,2025-01-22 17:00:00+00:00,0.7523434
67,btc,2025-01-22 18:00:00+00:00,0.7525415
68,btc,2025-01-22 19:00:00+00:00,0.7530322
69,btc,2025-01-22 20:00:00+00:00,0.7537911
70,btc,2025-01-22 21:00:00+00:00,0.7522335
71,btc,2025-01-22 22:00:00+00:00,0.7526726
72,btc,2025-01-22 23:00:00+00:00,0.7537139
73,btc,2025-01-23 00:00:00+00:00,0.7530059
74,btc,2025-01-23 01:00:00+00:00,0.7519822
75,btc,2025-01-23 02:00:00+00:00,0.7530933
76,btc,2025-01-23 03:00:00+00:00,0.7545678
77,btc,2025-01-23 04:00:00+00:00,0.7551756
78,btc,2025-01-23 05:00:00+00:00,0.7564847
79,btc,2025-01-23 06:00:00+00:00,0.7570715
80,btc,2025-01-23 07:00:00+00:00,0.7573118
81,btc,2025-01-23 08:00:00+00:00,0.7579692
82,btc,2025-01-23 09:00:00+00:00,0.7566493
83,btc,2025-01-23 10:00:00+00:00,0.7568604
84,btc,2025-01-23 11:00:00+00:00,0.7573395
85,btc,2025-01-23 12:00:00+00:00,0.7563539
86,btc,2025-01-23 13:00:00+00:00,0.757123
87,btc,2025-01-23 14:00:00+00:00,0.7575904
88,btc,2025-01-23 15:00:00+00:00,0.7739576
89,btc,2025-01-23 16:00:00+00:00,0.7860413
90,btc,2025-01-23 17:00:00+00:00,0.7870502
91,btc,2025-01-23 18:00:00+00:00,0.7876257
92,btc,2025-01-23 19:00:00+00:00,0.7877085
93,btc,2025-01-23 20:00:00+00:00,0.7915392
94,btc,2025-01-23 21:00:00+00:00,0.8036111
95,btc,2025-01-23 22:00:00+00:00,0.8046267
96,btc,2025-01-23 23:00:00+00:00,0.8053173
97,btc,2025-01-24 00:00:00+00:00,0.8056042
98,btc,2025-01-24 01:00:00+00:00,0.8065484
99,btc,2025-01-24 02:00:00+00:00,0.803681
